id,type,contentType,pagetitle,longtitle,description,alias,link_attributes,published,pub_date,unpub_date,parent,isfolder,introtext,content,richtext,template,menuindex,searchable,cacheable,createdby,createdon,editedby,editedon,deleted,deletedon,deletedby,publishedon,publishedby,menutitle,donthit,privateweb,privatemgr,content_dispo,hidemenu,class_key,context_key,content_type,uri,uri_override,hide_children_in_tree,show_in_tree,properties,alias_visible,file_uri
1,document,text/html,Сайт,"","",main,"",1,"0","0","0",1,"","<p align=""center""><strong style=""line-height: 1.5em;""> </strong></p>
<p><strong> </strong></p>",1,1,"0",1,1,1,1420205779,8,1577689236,"0","0","0","0","0",Тарифи,"0","0","0","0","0",modDocument,web,1,main/,"0","0",1,,1,
2,document,text/html,Головна,"Повідомлення про намір ПТМ ""Ковельтепло"" зменшити тарифи","",rіshennya-vikonavchogo-komіtetu-kovelskoї-mіskoї-rad,"",1,"0","0",1,"0","","<p align=""center""><strong> </strong></p>
<p> </p>",1,2,1,1,1,2,1420234161,1,1641819876,"0","0","0",1542289500,"0","","0","0","0","0","0",modDocument,web,1,rishennya-vikonavchogo-komitetu-kovelskoi-miskoi-rad.html,"0","0",1,,1,
3,document,text/html,Новини,"","",news,"",1,"0","0",2,1,"","<div class=""main_news""> </div>",1,3,"0",1,1,1,1420234424,9,1689074507,"0","0","0",1689074507,9,"","0","0","0","0","0",modDocument,web,1,news/,"0","0",1,,1,
4,document,text/html,Річний план закупівель,"","",rіchnij-plan-zakupіvel,"","0","0","0",3,"0","","<a href=""files/30514446-plan.pdf"">Річний план закупівель</a> ПТМ „Ковельтепло„ на 2015 рік",1,1,2,1,1,1,1420235150,9,1628766638,"0","0","0","0","0","","0","0","0","0","0",modDocument,web,1,richnij-plan-zakupivel.html,"0","0",1,,1,
5,document,text/html,Проекти Інвестиційної програми,"","",proekti-investiczijnoi-programi,"",1,"0","0",3,"0","","Проекти Інвестиційної програми на 2014 рік та Інвестиційної програми на 2015 рік <br /> <a href=""files/invest-2014.zip"">інвестиційна програма 2014 року</a> <br /> <a href=""files/invest-2015.zip"">інвестиційна програма 2015 року</a> <br />Зауваження та пропозиції просимо надавати на адресу <strong>pev<em>@</em>kovelteplo.org.ua</strong>",1,3,1,1,1,1,1420235284,1,1660400989,"0","0","0",1416182400,1,"","0","0","0","0","0",modDocument,web,1,proekti-investiczijnoi-programi.html,"0","0",1,,1,
6,document,text/html,Підприємство,"","",pidpriemstvo,"",1,"0","0",1,1,"","<p><strong><span style=""font-size: 160%;"">Підприємство теплових мереж <strong>«КОВЕЛЬТЕПЛО»</strong></span></strong><br /><strong><br /></strong><strong><br />Графік роботи</strong><strong>:</strong></p>
<p>понеділок - четвер 08:00 - 17:15<br />п'ятниця 08:00 - 16:00<br />субота, неділя: вихідні</p>
<p> <strong>Електронна адреса: </strong>office@kovelteplo.org.ua</p>
<p> </p>
<div> </div>",1,1,1,1,1,1,1420292479,9,1686741729,"0","0","0",1457217360,1,"","0","0","0","0","0",modDocument,web,1,pidpriemstvo/,"0","0",1,,1,
7,document,text/html,Споживачам,"","",spozhivacham,"",1,"0","0",1,1,"","",1,1,2,1,1,1,1420292502,1,1641995927,"0","0","0",1420123260,1,"","0","0","0","0","0",modDocument,web,1,spozhivacham/,"0","0",1,,1,
8,document,text/html,"Перелік, вартість та умови надання споживачам додаткових послуг","","",tarifi,"",1,"0","0",58,"0","","<p style=""text-align: center;"">Перелік, вартість та умови надання споживачам додаткових послуг</p>
<p> <span style=""line-height: 1.5em;"">  Споживачам додаткові послуги надаються за умови звернення до ПТМ «Ковельтепло» (заяви), оплата проводиться на підставі складеної калькуляції, виставленого рахунку, акту виконаних робіт, договору тощо.</span></p>
<p>Вартість послуг на встановлення та зняття пломби для припинення і відновлення постачання гарячої води у квартирі споживача:</p>
<table style=""width: 612px;"" border=""1"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td valign=""top"" width=""54"">
<p align=""center"">№ п/п</p>
</td>
<td valign=""top"" width=""331"">
<p align=""center"">Послуга</p>
</td>
<td valign=""top"" width=""76"">
<p align=""center"">Ціна без ПДВ, грн.</p>
</td>
<td valign=""top"" width=""76"">
<p align=""center"">ПДВ, грн.</p>
</td>
<td valign=""top"" width=""76"">
<p align=""center"">Ціна з ПДВ, грн.</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""54"">
<p>1.</p>
</td>
<td valign=""top"" width=""331"">
<p>Встановлення пломби для припинення постачання гарячої води у квартирі споживача</p>
</td>
<td style=""text-align: center;"" valign=""top"" width=""76"">
<p> 98,22</p>
</td>
<td style=""text-align: center;"" valign=""top"" width=""76""> 19,64</td>
<td style=""text-align: center;"" valign=""top"" width=""76""> 117,86</td>
</tr>
<tr>
<td valign=""top"" width=""54"">
<p>2.</p>
</td>
<td valign=""top"" width=""331"">
<p>Зняття пломби для відновлення постачання гарячої води у квартирі споживача</p>
</td>
<td style=""text-align: center;"" valign=""top"" width=""76"">
<p> 47,67</p>
</td>
<td style=""text-align: center;"" valign=""top"" width=""76""> 9,53</td>
<td style=""text-align: center;"" valign=""top"" width=""76""> 57,20</td>
</tr>
</tbody>
</table>
<br />Вартість послуг на періодичну повірку квартирних засобів облігу гарячогота холодного водопостачання<br /><br />
<table style=""width: 628px;"" border=""0"" cellspacing=""0"" cellpadding=""0""><colgroup><col width=""28"" /> <col width=""240"" /> <col span=""6"" width=""60"" /> </colgroup>
<tbody>
<tr>
<td class=""xl71"" style=""text-align: center;"" rowspan=""2"" width=""28"" height=""85"">№<br />п/п</td>
<td class=""xl71"" style=""text-align: center;"" rowspan=""2"" width=""240"">Послуга</td>
<td class=""xl76"" style=""text-align: center;"" colspan=""3"" width=""180"">1 шт.</td>
<td class=""xl76"" style=""text-align: center;"" colspan=""3"" width=""180"">2 шт.</td>
</tr>
<tr>
<td class=""xl71"" style=""text-align: center;"" width=""60"" height=""65"">Ціна без ПДВ, грн.</td>
<td class=""xl71"" style=""text-align: center;"" width=""60"">ПДВ, грн.</td>
<td class=""xl71"" style=""text-align: center;"" width=""60"">Ціна з ПДВ, грн.</td>
<td class=""xl71"" style=""text-align: center;"" width=""60"">Ціна без ПДВ, грн.</td>
<td class=""xl71"" style=""text-align: center;"" width=""60"">ПДВ, грн.</td>
<td class=""xl71"" style=""text-align: center;"" width=""60"">Ціна з ПДВ, грн.</td>
</tr>
<tr>
<td class=""xl72"" colspan=""8"" width=""628"" height=""20"">Проливна установка АС-П</td>
</tr>
<tr>
<td class=""xl67"" width=""28"" height=""60"">1</td>
<td class=""xl65"" width=""240"">Періодична повірка, огляд та опломбування квартирного засобу обліку <span class=""font5"">гарячої води</span></td>
<td class=""xl66"">158,43</td>
<td class=""xl66"">31,69</td>
<td class=""xl66"">190,12</td>
<td class=""xl66"">316,87</td>
<td class=""xl66"">63,37</td>
<td class=""xl66"">380,24</td>
</tr>
<tr>
<td class=""xl72"" colspan=""8"" width=""628"" height=""20"">Проливна установка АС-20 в зборі</td>
</tr>
<tr>
<td class=""xl67"" width=""28"" height=""98"">2</td>
<td class=""xl65"" width=""240"">Періодична повірка (в тому числі, демотаж, транспортування та монтаж), огляд та опломбування/ розпломбування квартирного засобу обліку <span class=""font5"">гарячої води</span></td>
<td class=""xl66"">171,74</td>
<td class=""xl66"">34,35</td>
<td class=""xl66"">206,09</td>
<td class=""xl66"">325,96</td>
<td class=""xl66"">65,19</td>
<td class=""xl66"">391,15</td>
</tr>
<tr>
<td class=""xl67"" width=""28"" height=""78"">3</td>
<td class=""xl65"" width=""240"">Періодична повірка, огляд та опломбування/розпломбування квартирного засобу обліку <span class=""font5"">гарячої води (доставка споживача)</span></td>
<td class=""xl66"">137,95</td>
<td class=""xl66"">27,59</td>
<td class=""xl66"">165,54</td>
<td class=""xl66"">257,80</td>
<td class=""xl66"">51,56</td>
<td class=""xl66"">309,36</td>
</tr>
<tr>
<td class=""xl68"" height=""20""> </td>
<td class=""xl63""> </td>
<td class=""xl63""> </td>
<td class=""xl63""> </td>
<td class=""xl63""> </td>
<td class=""xl63""> </td>
<td class=""xl63""> </td>
<td class=""xl63""> </td>
</tr>
<tr>
<td class=""xl70"" width=""28"" height=""20""> </td>
<td class=""xl75"" colspan=""7"" width=""600"">Примітка: <span class=""font6"">вартість ремонту та запчастин оплачується додатково</span></td>
</tr>
</tbody>
</table>",1,1,"0",1,1,1,1420292523,8,1642159849,"0","0","0",1456401900,3,"","0","0","0","0","0",modDocument,web,1,tarifi.html,"0","0",1,,1,
9,document,text/html,Інформація,"","",informacziya,"",1,"0","0",1,1,"","",1,1,3,1,1,1,1420296047,1,1699305648,"0","0","0",1420296000,1,"","0","0","0","0","0",modDocument,web,1,informacziya/,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1,
10,document,text/html,Населенню,"","",naselennyu,"",1,"0","0",7,"0","","",1,1,"0",1,1,1,1420296334,1,1641991077,"0","0","0",1420296300,1,"","0","0","0","0","0",modDocument,web,1,naselennyu.html,"0","0",1,,1,
